"OU";"Name";"Surname";"initials";"givenName";"DisplayName";"SamAccountName";"description";"MemberOf";"Gender";"Species";"physicalDeliveryOfficeName";"OfficePhone";"EmailAddress";"HomePage";"streetAddress";"POBox";"City";"State";"postalCode";"Country";"ChangePasswordAtLogon";"scriptpath";"Homedrive";"homePhone";"pager";"MobilePhone";"info";"title";"department";"departmentNumber";"Organization";"Company";"employeeID";"employeeNumber";"employeeType";"Exchange Alias";"Exchange Mailbox Store";"Instant Messaging Home Server ";"Instant Messaging URL ";"Enabled"
"BAAD";"impegu3";"Guard3";"";"Imperial Royal";"IMPERIAL ROYAL, Guard3";"impegu3";"Imperial Royal Guard who protects the Emperor";"The Last Jedi";"Male";"Human";"";"+39 (435)  995-3379";"imperial royal.guard3@EguibarIT.com";"http://www.eguibarit.com";"";"29528";"Kamino";"Toscana";"AJ65-2425";"IT";"0";"";"U:";"";"";"+39 (939)  237-4003";"Default password is ""P@ssword 123456"" without quotes";"";"";"";"";"";"87364";"426799";"Freelance";"";"";"";"";"1"
"BAAD";"impegu4";"Guard4";"";"Imperial Royal";"IMPERIAL ROYAL, Guard4";"impegu4";"Imperial Royal Guard who protects the Emperor";"The Last Jedi";"Male";"Human";"";"+81 (861)  908-8826";"imperial royal.guard4@EguibarIT.com";"http://www.eguibarit.com";"";"21512";"Kamino";"Okinawa";"TJ76-7239";"JP";"0";"";"U:";"";"";"+81 (828)  402-8051";"Default password is ""P@ssword 123456"" without quotes";"";"";"";"";"";"934102";"632898";"Contractor";"";"";"";"";"1"
"BAAD";"impegu5";"Guard5";"";"Imperial Royal";"IMPERIAL ROYAL, Guard5";"impegu5";"Imperial Royal Guard who protects the Emperor";"The Last Jedi";"Male";"Human";"";"+52 (200)  580-2594";"imperial royal.guard5@EguibarIT.com";"http://www.eguibarit.com";"";"94275";"Kamino";"Veracruz";"SM15-9300";"MX";"0";"";"U:";"";"";"+52 (553)  559-4310";"Default password is ""P@ssword 123456"" without quotes";"";"";"";"";"";"96516";"161810";"Interim";"";"";"";"";"1"
"BAAD";"mocana";"CANADY";"";"Moden";"CANADY, Moden";"mocana";"A veteran officer, Moden Canady was captain of the Siege Dreadnought Fulminatrix, charged with annihilating D’Qar’s Resistance base from orbit. Canady commanded a Star Destroyer in the Imperial Starfleet, and was distressed to find himself surrounded by arrogant, inexperienced young First Order officers. He incinerated the base and was preparing to fire on Leia Organa’s flagship when his warship was destroyed by the Resistance’s last remaining bomber.";"The Last Jedi";"Male";"Human";"";"";"Moden.CANADY@EguibarIT.com";"http://www.eguibarit.com";"";"82535";"";"Okinawa";"RX95-5907";"JP";"0";"";"U:";"";"";"";"Default password is ""P@ssword 123456"" without quotes";"Captain";"";"";"";"First Order";"3222940";"5903473";"Freelance";"";"";"";"";"1"
"BAAD";"edpeav";"PEAVEY";"";"Edrison";"PEAVEY, Edrison";"edpeav";"Edrison Peavey commands the Star Destroyer Finalizer, which requires him to take orders from General Hux. Peavey has little respect for Hux, whom he regards as an arrogant schemer with a poor grasp of tactics. But as a veteran of the Empire, Peavey respects the chain of command and keeps his opinions to himself.";"The Last Jedi";"Male";"Human";"";"";"Edrison.PEAVEY@EguibarIT.com";"http://www.eguibarit.com";"";"84530";"";"Asturias";"GB24-1480";"ES";"0";"";"U:";"";"";"";"Default password is ""P@ssword 123456"" without quotes";"Captain";"";"";"";"First Order";"1096525";"4514596";"Broker";"";"";"";"";"1"
"BAAD";"djdwel";"DWELLS";"";"DJ";"DWELLS, DJ";"djdwel";"An amoral thief and talented slicer, DJ dwells in the shadows thrown off by Canto Bight’s glitz, stealing whatever he needs and resolutely refusing to take sides in the growing conflict between the First Order and the Resistance.";"The last Jedi";"Male";"Human";"";"";"DJ.DWELLS@EguibarIT.com";"http://www.eguibarit.com";"";"84609";"Canto Bight";"Lyon";"AH12-7233";"FR";"0";"";"U:";"";"";"";"Default password is ""P@ssword 123456"" without quotes";"";"";"";"";"Self";"2573535";"3412291";"Freelance";"";"";"";"";"1"
"BAAD";"macode";"CODEBREAKER";"";"Master";"CODEBREAKER, Master";"macode";"He’s a soldier, freedom fighter, ace pilot, top smuggler and a poet with a blaster – and a slicer capable of defeating the toughest security in the galaxy. So Maz Kanata describes the man known only as the Master Codebreaker. His favorite haunt is Canto Bight, where he’s recognizable by the red plom bloom adorning one immaculate lapel of his tuxedo.";"The last Jedi";"Male";"Human";"";"";"Master.CODEBREAKER@EguibarIT.com";"http://www.eguibarit.com";"";"40991";"Canto Bight";"Tolouse";"BO57-5019";"FR";"0";"";"U:";"";"";"";"Default password is ""P@ssword 123456"" without quotes";"";"";"";"";"";"1854637";"2327883";"Permanent";"";"";"";"";"1"
"BAAD";"mogide";"GIDEON";"";"Moff";"GIDEON, Moff";"mogide";"Imperial Moff Gideon is fiercely determined to capture the Child, known as Grogu. Clever and formidable, Gideon values power and knowledge. He wields the ancient Darksaber, an artifact of great import to Mandalorians.";"The Mandalorian";"Male";"Human";"";"";"Moff.GIDEON@EguibarIT.com";"http://www.eguibarit.com";"";"23620";"";"Tokio";"WD44-5377";"JP";"0";"";"U:";"";"";"";"Default password is ""P@ssword 123456"" without quotes";"";"";"";"";"First Order";"6586808";"1654876";"Broker";"";"";"";"";"1"
"BAAD";"damaul";"MAUL";"";"Darth";"MAUL, Darth";"damaul";"Sith Lord apprentice";"The Phantom Menace";"Male";"Zabrak";"";"+52 (473)  494-8889";"darth.maul@EguibarIT.com";"http://www.eguibarit.com";"";"73260";"Dathomir";"Veracruz";"LF11-1339";"MX";"0";"";"U:";"";"";"+52 (68)  950-1922";"Default password is ""P@ssword 123456"" without quotes";"Lord";"";"";"";"";"506754";"204549";"Interim";"";"";"";"";"1"
"BAAD";"jabhut";"THE HUTT";"";"Jabba";"THE HUTT, Jabba";"jabhut";"Crime Lord";"The Phantom Menace, Return of the Jedi, A New Hope";"Hermaphrodite";"Hutt";"";"+33 (563)  989-154";"jabba.the hutt@EguibarIT.com";"http://www.eguibarit.com";"";"60721";"Nal Hutta";"Dijon";"MT36-4749";"FR";"0";"";"U:";"";"";"+33 (665)  649-4056";"Default password is ""P@ssword 123456"" without quotes";"Lord";"";"";"";"Self";"849284";"902152";"Freelance";"";"";"";"";"1"
"BAAD";"caphas";"PHASMMA";"";"Captain";"PHASMMA, Captain";"caphas";"Captain Phasma commands the First Order?s legions of stormtroopers. ";"";"Female";"";"";"+52 (216)  619-7439";"captain.phasmma@EguibarIT.com";"http://www.eguibarit.com";"";"65745";"Galactic Republic";"Veracruz";"PA41-5847";"MX";"0";"";"U:";"";"";"+52 (21)  866-8129";"Default password is ""P@ssword 123456"" without quotes";"";"Soldier";"";"";"First Order";"379732";"895434";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo01";"TROOPER1";"";"Clone1";"TROOPER1, Clone1";"cltroo01";"Stormtrooper Soldier";"";"Female";"Human";"";"+33 (206)  377-9728";"clone1.trooper1@EguibarIT.com";"http://www.eguibarit.com";"";"7291";"Kamino";"Dijon";"YJ99-5584";"FR";"0";"";"U:";"";"";"+33 (647)  719-319";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"713073";"797312";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo10";"TROOPER10";"";"Clone10";"TROOPER10, Clone10";"cltroo10";"Stormtrooper Soldier";"";"Female";"Human";"";"+1 (117)  789-3667";"clone10.trooper10@EguibarIT.com";"http://www.eguibarit.com";"";"2457";"Kamino";"Alberta";"FE82-2972";"CA";"0";"";"U:";"";"";"+1 (484)  753-2068";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"728477";"602622";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo11";"TROOPER11";"";"Clone11";"TROOPER11, Clone11";"cltroo11";"Stormtrooper Soldier";"";"Female";"Human";"";"+27 (514)  180-6315";"clone11.trooper11@EguibarIT.com";"http://www.eguibarit.com";"";"42955";"Kamino";"Western Cape";"EX56-1770";"SA";"0";"";"U:";"";"";"+27 (945)  600-5866";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"359708";"981649";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo12";"TROOPER12";"";"Clone12";"TROOPER12, Clone12";"cltroo12";"Stormtrooper Soldier";"";"Female";"Human";"";"+55 (679)  411-1682";"clone12.trooper12@EguibarIT.com";"http://www.eguibarit.com";"";"54928";"Kamino";"Rio de Janeiro";"GA62-6702";"BR";"0";"";"U:";"";"";"+55 (667)  761-4902";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"990526";"246520";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo13";"TROOPER13";"";"Clone13";"TROOPER13, Clone13";"cltroo13";"Stormtrooper Soldier";"";"Female";"Human";"";"+39 (441)  474-9557";"clone13.trooper13@EguibarIT.com";"http://www.eguibarit.com";"";"30952";"Kamino";"Calabria";"KW57-5661";"IT";"0";"";"U:";"";"";"+39 (812)  153-6209";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"991900";"992693";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo14";"TROOPER14";"";"Clone14";"TROOPER14, Clone14";"cltroo14";"Stormtrooper Soldier";"";"Female";"Human";"";"+34 (895)  370-6255";"clone14.trooper14@EguibarIT.com";"http://www.eguibarit.com";"";"45619";"Kamino";"Asturias";"RI37-4138";"ES";"0";"";"U:";"";"";"+34 (636)  241-849";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"793767";"691620";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo15";"TROOPER15";"";"Clone15";"TROOPER15, Clone15";"cltroo15";"Stormtrooper Soldier";"";"Female";"Human";"";"+81 (942)  135-5735";"clone15.trooper15@EguibarIT.com";"http://www.eguibarit.com";"";"23341";"Kamino";"Okinawa";"SP94-7630";"JP";"0";"";"U:";"";"";"+81 (402)  30-7463";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"123154";"947760";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo16";"TROOPER16";"";"Clone16";"TROOPER16, Clone16";"cltroo16";"Stormtrooper Soldier";"";"Female";"Human";"";"+52 (723)  866-2257";"clone16.trooper16@EguibarIT.com";"http://www.eguibarit.com";"";"35438";"Kamino";"Veracruz";"UQ75-6853";"MX";"0";"";"U:";"";"";"+52 (475)  895-9039";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"763981";"584854";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo17";"TROOPER17";"";"Clone17";"TROOPER17, Clone17";"cltroo17";"Stormtrooper Soldier";"";"Male";"Human";"";"+33 (264)  665-8537";"clone17.trooper17@EguibarIT.com";"http://www.eguibarit.com";"";"61870";"Kamino";"Tolouse";"FC81-3327";"FR";"0";"";"U:";"";"";"+33 (828)  147-5617";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"138974";"790431";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo18";"TROOPER18";"";"Clone18";"TROOPER18, Clone18";"cltroo18";"Stormtrooper Soldier";"";"Male";"Human";"";"+1 (788)  171-2104";"clone18.trooper18@EguibarIT.com";"http://www.eguibarit.com";"";"51239";"Kamino";"British Columbia";"WQ91-7872";"CA";"0";"";"U:";"";"";"+1 (801)  963-9241";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"152641";"789582";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo19";"TROOPER19";"";"Clone19";"TROOPER19, Clone19";"cltroo19";"Stormtrooper Soldier";"";"Male";"Human";"";"+27 (441)  689-5708";"clone19.trooper19@EguibarIT.com";"http://www.eguibarit.com";"";"72808";"Kamino";"Limpopo";"IN36-4319";"SA";"0";"";"U:";"";"";"+27 (820)  617-7297";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"502771";"582386";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo02";"TROOPER2";"";"Clone2";"TROOPER2, Clone2";"cltroo02";"Stormtrooper Soldier";"";"Female";"Human";"";"+1 (286)  893-9780";"clone2.trooper2@EguibarIT.com";"http://www.eguibarit.com";"";"84982";"Kamino";"Saskachewan";"CF16-7000";"CA";"0";"";"U:";"";"";"+1 (923)  699-8721";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"92144";"685446";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo20";"TROOPER20";"";"Clone20";"TROOPER20, Clone20";"cltroo20";"Stormtrooper Soldier";"";"Female";"Human";"";"+55 (3)  454-9149";"clone20.trooper20@EguibarIT.com";"http://www.eguibarit.com";"";"61163";"Kamino";"Bahia";"YE44-3998";"BR";"0";"";"U:";"";"";"+55 (589)  717-5524";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"935230";"534321";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo03";"TROOPER3";"";"Clone3";"TROOPER3, Clone3";"cltroo03";"Stormtrooper Soldier";"";"Female";"Human";"";"+27 (100)  742-9650";"clone3.trooper3@EguibarIT.com";"http://www.eguibarit.com";"";"19255";"Kamino";"Gauteng";"IV14-7595";"SA";"0";"";"U:";"";"";"+27 (89)  339-2524";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"716666";"750498";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo04";"TROOPER4";"";"Clone4";"TROOPER4, Clone4";"cltroo04";"Stormtrooper Soldier";"";"Male";"Human";"";"+55 (243)  906-7191";"clone4.trooper4@EguibarIT.com";"http://www.eguibarit.com";"";"25265";"Kamino";"Sao Paulo";"XV60-3611";"BR";"0";"";"U:";"";"";"+55 (980)  302-80";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"660135";"566279";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo05";"TROOPER5";"";"Clone5";"TROOPER5, Clone5";"cltroo05";"Stormtrooper Soldier";"";"Male";"Human";"";"+39 (898)  138-3367";"clone5.trooper5@EguibarIT.com";"http://www.eguibarit.com";"";"95488";"Kamino";"Toscana";"KP27-2225";"IT";"0";"";"U:";"";"";"+39 (518)  452-7861";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"306003";"323192";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo06";"TROOPER6";"";"Clone6";"TROOPER6, Clone6";"cltroo06";"Stormtrooper Soldier";"";"Male";"Human";"";"+34 (127)  354-4571";"clone6.trooper6@EguibarIT.com";"http://www.eguibarit.com";"";"61080";"Kamino";"Valencia";"AZ25-418";"ES";"0";"";"U:";"";"";"+34 (753)  510-2336";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"79573";"98948";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo07";"TROOPER7";"";"Clone7";"TROOPER7, Clone7";"cltroo07";"Stormtrooper Soldier";"";"Male";"Human";"";"+81 (561)  478-2233";"clone7.trooper7@EguibarIT.com";"http://www.eguibarit.com";"";"27697";"Kamino";"Osaka";"JQ58-5378";"JP";"0";"";"U:";"";"";"+81 (25)  62-293";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"523766";"882682";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo08";"TROOPER8";"";"Clone8";"TROOPER8, Clone8";"cltroo08";"Stormtrooper Soldier";"";"Male";"Human";"";"+52 (735)  647-8119";"clone8.trooper8@EguibarIT.com";"http://www.eguibarit.com";"";"37430";"Kamino";"Jalisco";"YN36-7308";"MX";"0";"";"U:";"";"";"+52 (755)  211-5188";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"372666";"827176";"Contractor";"";"";"";"";"1"
"BAAD";"cltroo09";"TROOPER9";"";"Clone9";"TROOPER9, Clone9";"cltroo09";"Stormtrooper Soldier";"";"Female";"Human";"";"+33 (522)  64-1387";"clone9.trooper9@EguibarIT.com";"http://www.eguibarit.com";"";"88941";"Kamino";"Lyon";"DH53-208";"FR";"0";"";"U:";"";"";"+33 (478)  487-7025";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"285001";"70793";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo01";"TROOPER1";"";"Scout1";"TROOPER1, Scout1";"sctroo01";"Scout Trooper Soldier";"";"Male";"Human";"";"";"Scout1.TROOPER1@EguibarIT.com";"http://www.eguibarit.com";"";"84609";"Cato Neimoidia";"Madrid";"WQ28-4086";"ES";"0";"";"U:";"";"";"+33 (478)  487-7026";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"713073";"797312";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo02";"TROOPER2";"";"Scout2";"TROOPER2, Scout2";"sctroo02";"Scout Trooper Soldier";"";"Female";"Human";"";"";"Scout2.TROOPER2@EguibarIT.com";"http://www.eguibarit.com";"";"56841";"Kalee";"Gauteng";"FD42-6417";"SA";"0";"";"U:";"";"";"+33 (478)  487-7027";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"728477";"602622";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo03";"TROOPER3";"";"Scout3";"TROOPER3, Scout3";"sctroo03";"Scout Trooper Soldier";"";"Male";"Human";"";"";"Scout3.TROOPER3@EguibarIT.com";"http://www.eguibarit.com";"";"34128";"";"Valencia";"YY91-4129";"ES";"0";"";"U:";"";"";"+33 (478)  487-7028";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"359708";"981649";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo04";"TROOPER4";"";"Scout4";"TROOPER4, Scout4";"sctroo04";"Scout Trooper Soldier";"";"Female";"Human";"";"";"Scout4.TROOPER4@EguibarIT.com";"http://www.eguibarit.com";"";"70741";"Naboo";"Calabria";"WK76-3942";"IT";"0";"";"U:";"";"";"+33 (478)  487-7029";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"990526";"246520";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo05";"TROOPER5";"";"Scout5";"TROOPER5, Scout5";"sctroo05";"Scout Trooper Soldier";"";"Male";"Human";"";"";"Scout5.TROOPER5@EguibarIT.com";"http://www.eguibarit.com";"";"80582";"Death Star";"Western Cape";"YQ73-7424";"SA";"0";"";"U:";"";"";"+33 (478)  487-7030";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"991900";"992693";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo06";"TROOPER6";"";"Scout6";"TROOPER6, Scout6";"sctroo06";"Scout Trooper Soldier";"";"Female";"Human";"";"";"Scout6.TROOPER6@EguibarIT.com";"http://www.eguibarit.com";"";"12689";"Arkanis";"Bahia";"PY92-1054";"BR";"0";"";"U:";"";"";"+33 (478)  487-7031";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"793767";"691620";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo07";"TROOPER7";"";"Scout7";"TROOPER7, Scout7";"sctroo07";"Scout Trooper Soldier";"";"Male";"Human";"";"";"Scout7.TROOPER7@EguibarIT.com";"http://www.eguibarit.com";"";"95300";"Kamino";"Valencia";"MO27-8224";"ES";"0";"";"U:";"";"";"+33 (478)  487-7032";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"123154";"947760";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo08";"TROOPER8";"";"Scout8";"TROOPER8, Scout8";"sctroo08";"Scout Trooper Soldier";"";"Female";"Human";"";"";"Scout8.TROOPER8@EguibarIT.com";"http://www.eguibarit.com";"";"75227";"Kamino";"Tolouse";"WW45-7616";"FR";"0";"";"U:";"";"";"+33 (478)  487-7033";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"763981";"584854";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo09";"TROOPER9";"";"Scout9";"TROOPER9, Scout9";"sctroo09";"Scout Trooper Soldier";"";"Male";"Human";"";"";"Scout9.TROOPER9@EguibarIT.com";"http://www.eguibarit.com";"";"29528";"Kamino";"Toscana";"AJ65-2425";"IT";"0";"";"U:";"";"";"+33 (478)  487-7034";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"138974";"790431";"Contractor";"";"";"";"";"1"
"BAAD";"sctroo10";"TROOPER10";"";"Scout10";"TROOPER10, Scout10";"sctroo10";"Scout Trooper Soldier";"";"Female";"Human";"";"";"Scout10.TROOPER10@EguibarIT.com";"http://www.eguibarit.com";"";"21512";"Kamino";"Okinawa";"TJ76-7239";"JP";"0";"";"U:";"";"";"+33 (478)  487-7035";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"152641";"789582";"Contractor";"";"";"";"";"1"
"BAAD";"shtroo01";"TROOPER1";"";"Shock1";"TROOPER1, Shock1";"shtroo01";"Schock Trooper Soldier";"";"Male";"Human";"";"";"Shock1.TROOPER1@EguibarIT.com";"http://www.eguibarit.com";"";"94275";"Kamino";"Veracruz";"SM15-9300";"MX";"0";"";"U:";"";"";"+33 (478)  487-7036";"Default password is ""P@ssword 123456"" without quotes";"Soldier";"Soldier";"";"";"Startrooper Forces";"502771";"582386";"Contractor";"";"";"";"";"1"
